language,year,coldwar,utopia,eden,amen,sandwich,whiskey,disco,jazz
English,1945,3.16E-06,1.97E-07,2.49E-08,3.24E-07,1.56E-06,2.94E-06,8.45E-08,1.59E-06
English,1946,2.80E-06,2.11E-07,2.51E-08,3.33E-07,1.61E-06,2.86E-06,8.00E-08,1.76E-06
English,1947,2.38E-06,2.16E-07,2.68E-08,3.29E-07,1.69E-06,2.83E-06,7.67E-08,1.81E-06
English,1948,2.04E-06,2.26E-07,2.70E-08,3.25E-07,1.73E-06,2.73E-06,7.24E-08,1.84E-06
English,1949,1.79E-06,2.34E-07,2.73E-08,3.22E-07,1.77E-06,2.63E-06,7.03E-08,1.77E-06
English,1950,1.61E-06,2.31E-07,2.77E-08,3.18E-07,1.82E-06,2.45E-06,6.03E-08,1.65E-06
English,1951,1.55E-06,2.50E-07,2.82E-08,3.23E-07,1.88E-06,2.40E-06,5.95E-08,1.71E-06
English,1952,1.48E-06,2.42E-07,1.70E-08,3.15E-07,1.89E-06,2.36E-06,5.92E-08,1.52E-06
English,1953,1.44E-06,2.32E-07,1.73E-08,3.08E-07,1.93E-06,2.33E-06,5.84E-08,1.55E-06
English,1954,1.42E-06,2.48E-07,1.76E-08,3.13E-07,1.98E-06,2.31E-06,5.94E-08,1.74E-06
English,1955,1.39E-06,2.48E-07,1.80E-08,3.18E-07,2.04E-06,2.31E-06,5.95E-08,2.09E-06
English,1956,1.35E-06,2.39E-07,1.84E-08,3.17E-07,2.14E-06,2.29E-06,5.98E-08,2.53E-06
English,1957,1.28E-06,2.44E-07,1.94E-08,3.16E-07,2.19E-06,2.23E-06,5.94E-08,3.09E-06
English,1958,1.23E-06,2.38E-07,1.94E-08,3.05E-07,2.23E-06,2.17E-06,5.85E-08,3.35E-06
English,1959,1.18E-06,2.48E-07,1.99E-08,3.03E-07,2.33E-06,2.09E-06,5.97E-08,3.96E-06
English,1960,1.13E-06,3.41E-07,1.94E-08,3.07E-07,2.37E-06,2.03E-06,6.00E-08,4.19E-06
English,1961,1.09E-06,3.51E-07,1.85E-08,3.01E-07,2.40E-06,1.96E-06,5.90E-08,4.33E-06
English,1962,1.07E-06,3.84E-07,1.81E-08,3.05E-07,2.40E-06,1.93E-06,6.48E-08,4.23E-06
English,1963,1.04E-06,4.09E-07,1.92E-08,3.00E-07,2.41E-06,1.86E-06,6.75E-08,4.08E-06
English,1964,1.02E-06,4.31E-07,1.99E-08,3.00E-07,2.39E-06,1.82E-06,6.96E-08,3.77E-06
English,1965,9.43E-07,4.54E-07,2.02E-08,3.02E-07,2.43E-06,1.80E-06,7.13E-08,3.74E-06
English,1966,9.36E-07,4.75E-07,2.10E-08,3.06E-07,2.41E-06,1.78E-06,7.34E-08,3.33E-06
English,1967,9.53E-07,4.18E-07,2.19E-08,3.08E-07,2.43E-06,1.79E-06,7.34E-08,3.19E-06
English,1968,1.07E-06,4.23E-07,2.26E-08,3.16E-07,2.42E-06,1.81E-06,7.61E-08,2.99E-06
English,1969,1.23E-06,4.31E-07,2.37E-08,3.12E-07,2.46E-06,1.83E-06,7.34E-08,3.04E-06
English,1970,1.51E-06,4.71E-07,2.38E-08,3.18E-07,2.43E-06,1.85E-06,7.36E-08,3.05E-06
English,1971,1.77E-06,5.01E-07,2.35E-08,3.15E-07,2.43E-06,1.87E-06,7.71E-08,3.09E-06
English,1972,2.02E-06,5.36E-07,2.38E-08,3.14E-07,2.37E-06,1.87E-06,8.08E-08,3.07E-06
English,1973,2.22E-06,5.54E-07,2.38E-08,3.16E-07,2.35E-06,1.87E-06,8.78E-08,3.24E-06
English,1974,2.38E-06,5.65E-07,2.46E-08,3.13E-07,2.34E-06,1.83E-06,1.05E-07,3.35E-06
